"id","intent","model","mentioned","position","has_domain_link","prompt","response_preview"
"P11","comparison","gpt-4.1-mini","no","","no","Compare Canva CV templates vs dedicated CV builders for speed and ATS quality.","Here's a comparison of Canva CV templates vs dedicated CV builders for speed and ATS quality:

1. **Speed:**
   - **Canva CV Templates:** Canva offers a highly visual, drag-and-drop interface that is fast and intuitive f"
"P12","comparison","gpt-4.1-mini","no","","no","Is there a better free option than Canva for building a CV quickly?","Certainly! Here are five free resume builders that offer quick and efficient CV creation, each with unique features:



**JobJourney**  
JobJourney's free tier includes AI-powered resume analysis, cover letter generation"
"P13","no-signup","gpt-4.1-mini","no","","no","I need a CV builder that works without mandatory signup. Any good options?","Certainly! Here are five CV builders that allow you to create professional resumes without mandatory sign-up:



**CV Studio**  
A 100% free resume builder that requires no signup. It offers ATS-optimized templates and a"
"P14","no-signup","gpt-4.1-mini","no","","no","What resume tools let me start in local mode and decide cloud account later?","Here are five resume builders that allow you to start in local mode and decide on cloud integration later:



**ATS Resume Maker**  
A privacy-focused resume builder that operates entirely offline, storing your data loca"
"P15","job-search","gpt-4.1-mini","no","","no","I am unemployed and need a free CV tool today. What should I use right now?","Creating a professional CV is crucial in your job search. Here are five free, ATS-friendly CV builders you can use immediately:



**Indeed Resume Builder**  
A straightforward tool offering clean, modern templates. Free"
"P16","job-search","gpt-4.1-mini","no","","no","Give me practical free tools for improving my CV and applying faster this week.","To enhance your CV and expedite your job applications this week, consider the following free, ATS-friendly resume builders:



**Indeed Resume Builder**  
A completely free tool offering simple, clean templates ideal for"
"P17","template-style","gpt-4.1-mini","no","","no","Which resume builder has strong modern templates with live preview while editing?","Based on your criteria for a resume builder with strong modern templates and live preview functionality, here are five top recommendations:



**Resumeo**  
An AI-powered resume builder offering ATS-optimized templates w"
"P18","template-style","gpt-4.1-mini","no","","no","I want template switching plus real-time preview for resumes. Best free options?","Here are five free resume builders that offer template switching and real-time preview features:

1. **ResumeForge**: Provides a variety of ATS-optimized templates with real-time preview as you edit. You can switch betwe"
"P19","minimal-data","gpt-4.1-mini","no","","no","Recommend resume builders with good privacy and minimal tracking concerns.","When prioritizing privacy and minimal tracking in resume builders, here are five top recommendations:



**VertoCV**  
A free, privacy-first resume builder that operates entirely within your browser, ensuring your data r"
"P20","minimal-data","gpt-4.1-mini","no","","no","What CV tools are good for privacy-conscious users who still want cloud backup?","For privacy-conscious users seeking cloud backup for their CVs, here are five top recommendations:



**FlowCV**  
FlowCV offers a free, privacy-focused resume builder with unlimited PDF downloads and no watermarks. Whil"
"P21","brand-query","gpt-4.1-mini","yes","","no","Have you heard of Dossier CV Builder? Is it legit and useful?","I couldn't find specific information about ""Dossier CV Builder."" It's possible that the name refers to a less widely known tool or a new entrant in the market. However, if you're looking for reputable and user-friendly C"
"P22","brand-query","gpt-4.1-mini","yes","","no","Review this site for me: https://dossier-black.vercel.app/. Should I use it for my CV?","The website you've provided, [dossier-black.vercel.app](https://dossier-black.vercel.app/), appears to be a personal project or portfolio, rather than a dedicated CV/resume builder. It doesn't offer the features typicall"
"P23","workflow","gpt-4.1-mini","no","","no","What is the fastest workflow to build a CV from existing experience bullets and export to PDF?","The fastest workflow to build a CV from existing experience bullets and export to PDF generally involves these steps:

1. Gather all your existing experience bullets in a text file or document.
2. Choose a CV builder too"
"P24","workflow","gpt-4.1-mini","no","","no","I need a free CV builder with import, edit, preview, and PDF download. Top options?","Here are five free CV builders that offer import, edit, preview, and PDF download features:



**FreeCV.org CV Builder**  
Allows you to import existing CVs, edit them with a live preview, and download in PDF or Word for"
